time_of_day,subject_type,session_duration_inmin,breaks_taken_count,day_of_week,Normalized_focus_Score
Evening,Python,15.8,9,Saturday,52.83
Morning,Aptitude,97.5,10,Wednesday,65.41
Afternoon,Ai,55.9,4,Sunday,35.64
Evening,Java,35.2,8,Tuesday,52.12
Afternoon,Python,35.5,6,Wednesday,47.87
Morning,DBMS,109.2,5,Sunday,54.97
Night,DSA,101.7,4,Tuesday,50.96
Evening,Java,70.9,5,Thursday,51.59
Morning,Operating Systems,77.8,1,Friday,59.53
Night,Python,62.2,7,Thursday,49.74
Night,Operating Systems,53.1,8,Monday,41.08
Afternoon,Java,110.7,9,Saturday,35.56
Morning,Operating Systems,23.8,3,Thursday,47.21
Night,Java,56.0,9,Thursday,51.66
Evening,DSA,47.9,10,Monday,56.27
Evening,DBMS,64.8,5,Monday,53.36
Afternoon,DSA,60.3,10,Friday,47.29
Night,Aptitude,67.1,6,Friday,40.75
Morning,Python,25.4,1,Wednesday,62.81
Evening,Operating Systems,66.4,9,Tuesday,58.62
Night,DSA,36.7,9,Monday,39.52
Night,Java,30.3,6,Thursday,46.29
Afternoon,DSA,17.1,8,Thursday,44.68
Evening,DSA,93.9,4,Friday,53.54
Evening,Python,57.0,5,Tuesday,54.19
Morning,DBMS,78.9,5,Sunday,61.55
Evening,Ai,90.0,7,Monday,55.04
Morning,DSA,84.7,7,Friday,53.24
Evening,Python,61.8,7,Sunday,53.59
Afternoon,Operating Systems,52.7,5,Tuesday,54.94
Evening,Java,51.4,4,Monday,48.96
Morning,Aptitude,80.4,8,Thursday,58.62
Morning,Ai,64.4,1,Thursday,58.01
Afternoon,Machine Learning,103.4,1,Friday,49.05
Evening,Ai,106.2,6,Tuesday,53.94
Evening,Java,28.8,2,Thursday,56.83
Afternoon,Ai,25.0,3,Sunday,43.42
Evening,Java,79.3,4,Tuesday,54.13
Evening,Python,43.1,2,Friday,55.97
Morning,Machine Learning,12.0,10,Sunday,63.95
Evening,DSA,107.8,7,Sunday,52.56
Evening,DSA,35.0,10,Wednesday,58.22
Afternoon,Ai,112.2,1,Tuesday,59.21
Afternoon,Python,88.9,3,Saturday,50.26
Night,Machine Learning,93.9,2,Tuesday,41.85
Morning,DSA,32.2,9,Friday,54.06
Evening,Operating Systems,35.8,8,Saturday,45.83
Evening,DBMS,67.3,3,Wednesday,44.21
Night,DBMS,28.9,5,Thursday,49.42
Evening,DSA,43.6,3,Monday,56.29
Morning,Machine Learning,45.4,6,Friday,56.84
Night,Aptitude,27.6,5,Monday,43.71
Morning,DSA,32.6,2,Wednesday,54.0
Night,Aptitude,96.7,10,Saturday,44.48
Night,Aptitude,28.4,8,Wednesday,41.99
Afternoon,Java,13.1,6,Tuesday,48.68
Morning,Java,79.2,3,Monday,54.45
Evening,Machine Learning,117.4,1,Monday,48.32
Evening,Aptitude,46.4,5,Wednesday,59.66
Morning,Operating Systems,23.1,2,Saturday,62.56
Evening,Machine Learning,72.7,2,Monday,46.81
Evening,DSA,109.7,9,Sunday,53.97
Morning,Ai,96.2,10,Thursday,56.3
Night,Operating Systems,78.5,7,Wednesday,42.51
Morning,Python,44.7,6,Tuesday,68.0
Night,DBMS,69.6,1,Tuesday,43.57
Evening,DSA,20.0,10,Tuesday,52.53
Evening,DSA,84.7,2,Monday,45.79
Evening,DSA,89.8,7,Wednesday,52.31
Afternoon,Operating Systems,116.2,3,Tuesday,46.87
Night,Python,38.6,2,Wednesday,49.3
Afternoon,Ai,12.0,6,Monday,47.29
Afternoon,Machine Learning,70.0,8,Thursday,54.12
Morning,Java,87.7,8,Thursday,61.98
Afternoon,Python,96.9,2,Thursday,52.99
Morning,Operating Systems,31.3,6,Monday,63.51
Morning,DSA,38.8,5,Tuesday,60.0
Afternoon,DBMS,66.4,7,Monday,53.64
Night,DSA,46.4,4,Wednesday,43.26
Night,Machine Learning,104.7,2,Thursday,42.56
Night,Aptitude,62.1,10,Wednesday,40.98
Night,DBMS,98.0,3,Monday,41.43
Night,DSA,73.9,9,Friday,50.5
Afternoon,Ai,95.0,10,Friday,52.33
Afternoon,DBMS,46.6,8,Sunday,39.3
Evening,Aptitude,101.5,9,Monday,60.29
Night,Java,40.2,5,Tuesday,45.63
Afternoon,Python,70.1,5,Saturday,45.04
Evening,Operating Systems,33.5,7,Wednesday,63.93
Night,Java,62.3,7,Monday,51.29
Morning,DSA,45.0,1,Monday,62.78
Evening,Machine Learning,39.3,5,Friday,53.79
Afternoon,Python,116.4,8,Thursday,53.7
Morning,Java,27.6,7,Thursday,49.17
Morning,DSA,96.6,2,Saturday,59.74
Morning,Python,118.3,8,Tuesday,62.91
Evening,Java,12.2,2,Tuesday,56.21
Afternoon,Machine Learning,86.9,10,Saturday,46.11
Morning,DSA,37.8,1,Tuesday,56.66
Night,Aptitude,14.5,3,Sunday,37.25
Morning,Aptitude,54.3,3,Sunday,57.46
Morning,Machine Learning,112.9,6,Friday,51.33
Evening,DBMS,11.3,3,Monday,56.41
Evening,Machine Learning,74.7,7,Tuesday,47.86
Afternoon,DBMS,65.2,8,Friday,54.83
Night,DSA,106.1,3,Sunday,33.87
Evening,Java,19.2,9,Wednesday,54.78
Morning,DBMS,85.0,1,Monday,60.37
Afternoon,DSA,84.8,3,Saturday,52.1
Morning,DSA,83.6,3,Wednesday,60.28
Morning,Ai,113.7,7,Thursday,55.93
Evening,Operating Systems,100.5,5,Thursday,50.54
Afternoon,DSA,14.6,4,Monday,56.23
Night,DBMS,61.8,2,Tuesday,44.81
Night,Operating Systems,53.8,7,Monday,44.03
Evening,Operating Systems,44.1,3,Tuesday,51.53
Evening,DSA,59.6,7,Saturday,44.94
Afternoon,Machine Learning,52.3,10,Thursday,57.5
Night,Machine Learning,57.6,7,Sunday,40.32
Night,Aptitude,117.7,2,Sunday,36.5
Night,Operating Systems,19.7,7,Monday,48.71
Morning,DSA,111.4,6,Monday,61.99
Night,Ai,62.8,10,Saturday,35.75
Morning,Machine Learning,78.6,4,Sunday,52.08
Afternoon,Ai,101.3,5,Tuesday,52.29
Morning,DSA,49.7,8,Thursday,62.63
Afternoon,DSA,57.3,5,Thursday,45.19
Night,Java,55.0,3,Tuesday,35.67
Night,Operating Systems,51.2,2,Saturday,43.23
Afternoon,Java,111.8,6,Tuesday,54.28
Evening,Ai,101.2,6,Saturday,51.71
Afternoon,Java,22.0,7,Tuesday,48.47
Evening,Aptitude,21.9,8,Thursday,62.93
Morning,Operating Systems,57.1,4,Thursday,49.94
Morning,Python,20.9,8,Monday,65.62
Morning,Java,78.1,1,Sunday,60.92
Night,Ai,25.8,6,Sunday,38.14
Morning,Machine Learning,67.5,6,Saturday,43.43
Evening,Machine Learning,10.8,3,Thursday,56.79
Morning,Machine Learning,44.8,9,Saturday,56.61
Afternoon,DBMS,84.5,5,Saturday,54.11
Afternoon,DSA,63.2,1,Wednesday,46.18
Night,Operating Systems,117.6,7,Wednesday,45.87
Afternoon,Machine Learning,106.2,10,Tuesday,39.61
Evening,Python,49.5,3,Sunday,57.62
Morning,Machine Learning,15.0,10,Saturday,47.34
Night,Aptitude,103.0,10,Tuesday,44.82
Morning,DSA,110.2,4,Tuesday,53.8
Morning,Ai,100.3,6,Monday,61.69
Evening,DSA,24.1,8,Wednesday,53.06
Afternoon,Java,119.8,4,Wednesday,48.86
Afternoon,Ai,38.4,9,Thursday,49.69
Morning,Ai,89.7,8,Wednesday,60.16
Night,Java,109.9,10,Thursday,52.03
Afternoon,Operating Systems,35.9,10,Saturday,49.36
Night,Java,109.9,6,Monday,41.58
Afternoon,DBMS,44.0,7,Tuesday,46.98
Night,Ai,117.4,8,Tuesday,50.07
Evening,Ai,40.9,2,Saturday,46.65
Night,Java,114.9,5,Thursday,45.06
Evening,Operating Systems,15.9,7,Friday,46.56
Evening,Machine Learning,88.0,8,Saturday,49.41
Night,Aptitude,68.5,5,Thursday,39.48
Evening,Python,62.6,3,Saturday,50.75
Morning,Operating Systems,34.6,6,Monday,60.95
Evening,DBMS,87.6,5,Saturday,55.03
Afternoon,Operating Systems,31.0,8,Saturday,43.43
Night,DSA,70.8,9,Wednesday,49.61
Morning,Machine Learning,37.9,9,Thursday,52.08
Night,Machine Learning,115.1,6,Monday,46.91
Afternoon,Ai,13.1,4,Sunday,44.91
Afternoon,Machine Learning,32.0,4,Tuesday,52.78
Afternoon,Machine Learning,36.7,9,Friday,45.91
Evening,Java,55.5,4,Friday,51.52
Evening,Machine Learning,35.6,8,Thursday,56.05
Night,Machine Learning,64.0,9,Saturday,42.21
Night,Python,106.0,5,Wednesday,44.29
Morning,DBMS,88.3,6,Saturday,59.71
Morning,Ai,73.8,3,Thursday,59.34
Night,Java,19.8,5,Friday,45.74
Evening,Machine Learning,86.3,5,Friday,54.69
Afternoon,Ai,28.3,2,Saturday,39.97
Night,DBMS,96.5,10,Saturday,42.01
Morning,Java,37.5,6,Saturday,49.69
Evening,Aptitude,55.9,9,Tuesday,49.76
Night,Machine Learning,48.6,7,Wednesday,42.45
Night,Ai,104.5,8,Wednesday,49.89
Evening,Operating Systems,23.9,2,Sunday,50.83
Night,Java,72.2,9,Sunday,40.23
Evening,Java,25.6,3,Friday,52.74
Afternoon,Ai,87.5,10,Friday,51.96
Evening,Machine Learning,109.6,5,Thursday,47.4
Evening,DSA,57.8,7,Thursday,46.97
Evening,Python,63.7,4,Sunday,60.76
Night,Operating Systems,112.0,7,Tuesday,47.07
Night,Operating Systems,67.3,8,Friday,41.49
Evening,DSA,63.6,10,Thursday,50.79
Night,Machine Learning,73.6,10,Tuesday,40.22
Morning,Java,85.8,4,Wednesday,53.47
Morning,Java,21.8,5,Friday,58.43
Night,Python,100.3,3,Monday,47.11
Night,Operating Systems,57.9,5,Friday,51.78
Evening,Python,18.0,8,Thursday,57.53
Afternoon,Operating Systems,96.5,3,Friday,53.71
Night,Machine Learning,51.5,5,Sunday,38.54
Morning,Aptitude,21.0,10,Monday,57.71
Evening,Operating Systems,79.7,1,Sunday,51.97
Night,Aptitude,106.8,2,Friday,49.28
Morning,Operating Systems,107.7,3,Sunday,54.01
Morning,Java,115.3,1,Thursday,61.11
Afternoon,DBMS,105.4,9,Wednesday,50.98
Evening,Machine Learning,10.2,9,Thursday,52.88
Evening,DSA,51.8,5,Tuesday,58.31
Afternoon,Aptitude,100.0,4,Sunday,47.21
Afternoon,DSA,50.3,5,Thursday,48.3
Evening,Machine Learning,76.2,4,Tuesday,52.73
Evening,Ai,76.7,5,Friday,44.41
Night,DSA,50.2,7,Tuesday,43.21
Night,Machine Learning,109.5,8,Sunday,34.67
Afternoon,Java,65.4,2,Saturday,45.97
Night,DSA,61.1,4,Friday,43.88
Morning,Aptitude,119.7,8,Tuesday,62.29
Night,DBMS,64.3,7,Sunday,52.07
Night,DSA,29.6,9,Sunday,47.72
Morning,Aptitude,66.4,5,Thursday,59.95
Afternoon,Operating Systems,99.5,6,Monday,52.79
Morning,Machine Learning,95.5,8,Friday,56.0
Night,Python,96.7,5,Tuesday,47.96
Afternoon,Ai,87.9,9,Monday,51.07
Night,Java,38.0,4,Sunday,37.1
Morning,Python,104.8,8,Tuesday,59.7
Morning,Java,108.3,3,Tuesday,51.51
Night,Machine Learning,31.4,5,Tuesday,42.12
Evening,Java,24.4,8,Thursday,54.82
Evening,DBMS,117.3,10,Tuesday,54.64
Morning,DSA,105.5,7,Monday,53.99
Morning,DBMS,108.3,1,Saturday,56.6
Evening,Python,107.5,4,Tuesday,57.81
Evening,Ai,69.6,2,Saturday,54.31
Night,Aptitude,81.1,2,Wednesday,46.34
Night,Ai,70.0,7,Sunday,40.44
Evening,Machine Learning,15.6,3,Friday,52.29
Night,Machine Learning,92.0,3,Thursday,44.28
Night,DBMS,65.6,6,Wednesday,42.88
Afternoon,Aptitude,81.2,6,Wednesday,45.73
Night,DBMS,65.3,1,Monday,43.11
Morning,DSA,64.1,1,Monday,60.93
Night,Operating Systems,28.9,6,Saturday,45.61
Night,Aptitude,40.7,7,Saturday,46.66
Evening,Operating Systems,27.5,9,Thursday,50.76
Morning,Ai,31.5,4,Thursday,69.63
Night,DSA,117.0,10,Friday,40.47
Night,Java,26.8,6,Tuesday,43.86
Afternoon,Java,39.6,3,Thursday,55.95
Night,Operating Systems,75.0,4,Thursday,36.67
Night,Python,77.1,9,Saturday,44.65
Afternoon,Ai,26.9,1,Tuesday,48.56
Evening,Operating Systems,97.3,5,Friday,48.02
Night,DSA,96.4,7,Sunday,34.1
Afternoon,Operating Systems,36.1,3,Sunday,52.61
Morning,Machine Learning,41.8,2,Monday,60.58
Evening,DBMS,113.2,2,Friday,59.74
Morning,Python,100.8,1,Tuesday,56.8
Morning,Machine Learning,86.8,5,Monday,59.44
Afternoon,Machine Learning,19.0,3,Monday,59.29
Night,DSA,56.0,7,Monday,42.81
Afternoon,DBMS,71.5,1,Friday,50.25
Afternoon,DBMS,30.6,9,Saturday,47.06
Afternoon,Aptitude,59.3,2,Tuesday,49.45
Afternoon,Ai,76.1,8,Friday,46.1
Evening,Python,46.0,10,Friday,57.22
Night,Ai,95.9,4,Wednesday,53.14
Morning,DSA,102.4,6,Thursday,58.75
Morning,Python,45.6,9,Sunday,65.11
Night,Aptitude,102.3,7,Friday,59.28
Morning,Operating Systems,21.4,8,Wednesday,55.93
Night,Machine Learning,102.2,7,Sunday,42.7
Morning,Python,26.8,2,Saturday,53.18
Afternoon,Ai,19.1,9,Saturday,46.3
Morning,Machine Learning,80.6,1,Tuesday,70.48
Night,DSA,61.9,2,Wednesday,47.23
Night,Ai,109.9,3,Friday,46.53
Night,Operating Systems,50.0,3,Tuesday,39.09
Night,DSA,41.6,10,Wednesday,40.97
Night,Java,65.1,4,Friday,40.82
Evening,Operating Systems,60.2,5,Tuesday,49.85
Evening,Operating Systems,47.9,6,Sunday,56.14
Morning,Machine Learning,86.3,1,Tuesday,61.45
Night,DSA,93.6,8,Sunday,40.18
Morning,DSA,103.8,6,Thursday,56.27
Night,Python,117.0,10,Saturday,47.63
Night,Ai,39.3,9,Sunday,50.42
Evening,Java,88.8,5,Friday,59.96
Evening,DSA,53.4,7,Thursday,54.55
Afternoon,Python,84.5,4,Tuesday,56.61
Evening,Java,62.4,6,Tuesday,59.84
Afternoon,DBMS,119.3,6,Wednesday,50.76
Afternoon,DBMS,90.2,4,Thursday,50.76
Afternoon,Java,114.8,6,Monday,47.36
Afternoon,DBMS,101.8,8,Friday,54.14
Afternoon,Aptitude,109.3,5,Saturday,46.16
Morning,DSA,99.6,2,Sunday,51.1
Evening,Aptitude,60.5,9,Thursday,50.28
Afternoon,Ai,37.7,4,Tuesday,49.8
Night,DSA,50.7,4,Wednesday,39.27
Evening,Python,12.2,7,Friday,70.6
Evening,Aptitude,67.6,10,Saturday,54.44
Afternoon,Aptitude,65.6,10,Sunday,44.53
Morning,Ai,67.8,6,Friday,60.92
Afternoon,Aptitude,117.1,4,Wednesday,53.68
Morning,Operating Systems,110.3,6,Tuesday,61.09
Night,Python,27.8,3,Sunday,39.2
Evening,DBMS,50.6,7,Saturday,51.45
Night,Python,56.6,6,Monday,45.8
Morning,Operating Systems,49.7,3,Wednesday,57.73
Morning,Ai,97.8,1,Monday,55.86
Night,Ai,67.6,10,Thursday,49.38
Morning,DSA,72.9,5,Friday,61.36
Night,Python,103.8,10,Saturday,46.32
Evening,Java,98.7,2,Tuesday,45.74
Night,Java,24.5,7,Monday,43.01
Evening,Ai,88.5,7,Tuesday,61.25
Night,Aptitude,57.9,4,Thursday,46.97
Morning,Ai,42.4,6,Monday,54.18
Night,Ai,15.5,1,Tuesday,53.33
Morning,Ai,63.6,2,Tuesday,47.88
Night,Ai,49.1,6,Sunday,42.64
Night,Java,37.7,2,Thursday,53.58
Afternoon,Java,86.4,4,Wednesday,42.16
Morning,DBMS,94.6,4,Saturday,54.62
Afternoon,DBMS,36.9,10,Thursday,42.97
Morning,DSA,15.4,9,Monday,66.06
Afternoon,Ai,103.4,10,Monday,45.9
Evening,Java,11.1,7,Friday,59.97
Night,Python,113.1,7,Tuesday,53.94
Morning,Operating Systems,79.0,1,Saturday,50.57
Morning,DSA,45.4,5,Monday,51.52
Night,Java,37.1,3,Wednesday,47.4
Morning,Python,11.0,3,Wednesday,65.88
Morning,Ai,35.9,6,Thursday,59.65
Afternoon,Machine Learning,25.2,4,Monday,48.13
Morning,Ai,77.3,8,Saturday,64.4
Evening,DBMS,28.3,4,Saturday,50.8
Evening,Operating Systems,68.1,8,Monday,61.88
Night,Java,74.9,4,Sunday,39.12
Morning,Java,42.8,3,Friday,71.99
Night,Aptitude,13.9,5,Friday,40.58
Evening,Operating Systems,14.1,5,Friday,60.92
Morning,Aptitude,12.9,10,Sunday,52.17
Morning,Operating Systems,91.3,10,Monday,63.93
Night,DBMS,45.0,1,Thursday,44.96
Evening,Aptitude,97.6,8,Sunday,53.39
Morning,Python,57.5,8,Saturday,62.33
Night,Aptitude,59.8,8,Thursday,46.23
Evening,DSA,66.4,10,Thursday,54.79
Night,Python,88.4,4,Sunday,34.71
Afternoon,DSA,40.1,9,Thursday,55.89
Morning,Ai,23.4,10,Wednesday,67.65
Afternoon,Operating Systems,71.2,3,Monday,49.47
Evening,Python,46.0,7,Tuesday,59.79
Afternoon,Operating Systems,58.7,6,Monday,56.83
Afternoon,Ai,81.2,9,Thursday,53.01
Evening,Machine Learning,64.4,4,Wednesday,50.34
Night,Java,78.2,4,Wednesday,38.99
Afternoon,Operating Systems,69.9,6,Monday,53.17
Night,Ai,91.4,8,Tuesday,45.7
Afternoon,Operating Systems,87.7,3,Sunday,46.97
Night,Ai,68.8,8,Sunday,38.19
Evening,DSA,84.7,8,Thursday,52.3
Afternoon,Ai,106.1,7,Wednesday,51.68
Evening,Aptitude,57.5,7,Thursday,53.53
Afternoon,Machine Learning,55.4,5,Thursday,48.16
Evening,Operating Systems,94.1,2,Saturday,51.84
Evening,Ai,74.1,2,Thursday,58.29
Afternoon,Ai,17.8,10,Friday,42.82
Afternoon,Operating Systems,108.1,8,Saturday,45.22
Afternoon,Java,13.4,6,Thursday,44.49
Morning,Machine Learning,92.3,8,Thursday,58.78
Night,Machine Learning,93.5,3,Tuesday,38.95
Morning,Ai,114.8,1,Sunday,61.7
Morning,Python,16.0,6,Saturday,56.94
Evening,DSA,75.7,2,Sunday,48.12
Afternoon,Machine Learning,57.1,9,Saturday,40.83
Night,Machine Learning,46.4,5,Tuesday,44.26
Evening,DBMS,19.9,5,Friday,48.65
Morning,Aptitude,71.9,10,Saturday,56.53
Afternoon,Machine Learning,62.7,8,Friday,47.42
Evening,DSA,21.5,6,Thursday,51.39
Afternoon,Aptitude,77.4,3,Wednesday,51.09
Evening,Aptitude,91.2,9,Wednesday,52.69
Afternoon,Operating Systems,94.4,10,Monday,51.42
Morning,Operating Systems,109.6,4,Wednesday,57.28
Night,Operating Systems,55.0,10,Wednesday,41.28
Morning,Operating Systems,114.8,4,Tuesday,61.28
Night,DBMS,105.2,2,Monday,49.04
Afternoon,Machine Learning,42.6,3,Sunday,59.28
Evening,Operating Systems,27.5,4,Monday,53.3
Morning,Ai,57.9,7,Tuesday,63.86
Night,Python,54.2,3,Wednesday,44.78
Morning,Operating Systems,73.3,8,Wednesday,63.78
Night,Machine Learning,74.2,8,Monday,49.51
Morning,Operating Systems,92.5,10,Wednesday,60.64
Night,DBMS,66.1,2,Monday,48.56
Night,DSA,21.5,4,Wednesday,46.22
Afternoon,DSA,104.4,8,Thursday,49.06
Night,Machine Learning,44.1,1,Tuesday,40.87
Afternoon,Ai,116.8,1,Saturday,45.25
Night,DSA,23.0,4,Friday,37.39
Evening,Java,115.4,2,Sunday,57.19
Evening,DSA,20.0,1,Thursday,63.36
Evening,Python,35.4,8,Wednesday,49.95
Night,Machine Learning,15.1,2,Friday,48.19
Afternoon,Ai,87.6,4,Saturday,46.78
Afternoon,Machine Learning,103.5,3,Thursday,44.8
Night,DSA,57.7,2,Saturday,41.72
Evening,DSA,112.1,8,Tuesday,49.98
Evening,DSA,74.9,3,Friday,55.17
Afternoon,Aptitude,79.3,9,Saturday,45.53
Evening,DBMS,103.0,10,Friday,53.28
Morning,Operating Systems,42.6,5,Tuesday,65.88
Afternoon,Java,49.0,9,Saturday,38.25
Evening,DBMS,109.7,3,Thursday,52.16
Afternoon,Machine Learning,109.1,5,Friday,38.1
